ID	CD_PERIMETRO
020070101	0200001
020070401	0200002
020070402	0200003
020070403	0200004
020070404	0200005
020070405	0200006
020070406	0200007
020070407	0200008
020070408	0200009
020070501	0200010
020070502	0200011
020070503	0200012
020070504	0200013
020070505	0200014
020070506	0200015
020070507	0200016
020070601	0200017
020070602	0200018
020070603	0200019
020070604	0200020
020070605	0200021
020070606	0200022
020070607	0200023
020070608	0200024
020070609	0200025
020070610	0200026
020070701	0200027
020070702	0200028
020070703	0200029
020070704	0200030
020070705	0200031
020070706	0200032
020070707	0200033
020070708	0200034
020070709	0200035
020070710	0200036
020070711	0200037
020070712	0200038
020070713	0200039
020070801	0200040
020070802	0200041
020070811	0200042
020070803	0200042
020070804	0200043
020070805	0200044
020070806	0200045
020070807	0200046
020070808	0200047
020070809	0200048
020070810	0200049
020070901	0200050
020070902	0200051
020070903	0200052
020070904	0200053
020070905	0200054
020070906	0200055
020070907	0200056
020070908	0200057
020070909	0200058
020070910	0200059
020070911	0200060
020070912	0200061
020070913	0200062
020070914	0200063
020070915	0200064
020070916	0200065
020070920	0200065
020070921	0200066
020070917	0200066
020070918	0200067
020070919	0200068
020071001	0200069
020071002	0200070
020071015	0200071
020071003	0200071
020071004	0200072
020071005	0200073
020071006	0200074
020071007	0200075
020071008	0200076
020071009	0200077
020071010	0200078
020071011	0200079
020071012	0200080
020071013	0200081
020071016	0200081
020071014	0200082
020071101	0200083
020071102	0200084
020071103	0200085
020071104	0200086
020071105	0200087
020071106	0200088
020071107	0200089
020071108	0200090
020071109	0200091
020071110	0200092
020071111	0200093
020071112	0200094
020071115	0200094
020071113	0200095
020071114	0200096
020071201	0200097
020071202	0200098
020071203	0200099
020071213	0200099
020071204	0200100
020071205	0200101
020071206	0200102
020071207	0200103
020071208	0200104
020071214	0200105
020071209	0200105
020071210	0200106
020071211	0200107
020071212	0200108
020071301	0200109
020071302	0200110
020071303	0200111
020071304	0200112
020071305	0200113
020071306	0200114
020071307	0200115
020071308	0200116
020071309	0200117
020071310	0200118
020071311	0200119
020071312	0200120
020071313	0200121
020071314	0200122
020071316	0200122
020071318	0200122
020071317	0200122
020071315	0200123
020071401	0200124
020071402	0200125
020071403	0200126
020071404	0200127
020071405	0200128
020071406	0200129
020071407	0200130
020071408	0200131
020071409	0200132
020071410	0200133
020071411	0200134
020071412	0200135
020071501	0200136
020071502	0200137
020071503	0200138
020071504	0200139
020071505	0200140
020071506	0200141
020071507	0200142
020071508	0200143
020071509	0200144
020071510	0200145
020071511	0200146
020071601	0200147
020071602	0200148
020071603	0200149
020071604	0200150
020071605	0200151
020071606	0200152
020071607	0200153
020071608	0200154
020071609	0200155
020071610	0200156
020071611	0200157
020071612	0200158
020071701	0200159
020071702	0200160
020071703	0200161
020071704	0200162
020071705	0200163
020071706	0200164
020071707	0200165
020071708	0200166
020071709	0200167
020071710	0200168
020071711	0200169
020071801	0200170
020071802	0200171
020071803	0200172
020071804	0200173
020071805	0200174
020071806	0200175
020071807	0200176
020071808	0200177
020071809	0200178
020071901	0200179
020071902	0200180
020071903	0200181
020071904	0200182
020071905	0200183
020071906	0200184
020071907	0200185
020071908	0200186
020071909	0200187
020072001	0200188
020072002	0200189
020072003	0200190
020072004	0200191
020072005	0200192
020072006	0200193
020072007	0200194
020072008	0200195
020072009	0200196
020072010	0200197
020072101	0200198
020072102	0200199
020072103	0200200
020072104	0200201
020072105	0200202
020072106	0200203
020072107	0200204
020072108	0200205
020072109	0200206
020072110	0200207
020072201	0200208
020072202	0200209
020072203	0200210
020072204	0200211
020072205	0200212
020072206	0200213
020072207	0200214
020072208	0200215
020072209	0200216
020072210	0200217
020072301	0200218
020072302	0200219
020072303	0200220
020072304	0200221
020072305	0200222
020072306	0200223
020072307	0200224
020072308	0200225
020072309	0200226
020072310	0200227
020072401	0200228
020072402	0200229
020072403	0200230
020072404	0200231
020072405	0200232
020072406	0200233
020072407	0200234
020072408	0200235
020072501	0200236
020072502	0200237
020072503	0200238
020072504	0200239
020072505	0200240
020072506	0200241
020072507	0200242
020072508	0200243
020072509	0200244
020072510	0200245
020072511	0200246
020072601	0200247
020072602	0200248
020072603	0200249
020072604	0200250
020072605	0200251
020072606	0200252
020072607	0200253
020072608	0200254
020072609	0200255
020072701	0200256
020072702	0200257
020072703	0200258
020072704	0200259
020072705	0200260
020072706	0200261
020072707	0200262
020072708	0200263
020072709	0200264
020072710	0200265
020072801	0200266
020072802	0200267
020072803	0200268
020072804	0200269
020072805	0200270
020072806	0200271
020072807	0200272
020072808	0200273
020072809	0200274
020072810	0200275
020072811	0200276
020072812	0200277
020072813	0200278
020072901	0200279
020072902	0200280
020072903	0200281
020072904	0200282
020072905	0200283
020072906	0200284
020072907	0200285
020072908	0200286
020072909	0200287
020140201	0200288
020140202	0200289
020140203	0200290
020140204	0200291
020140205	0200292
020140206	0200293
020140207	0200294
020140208	0200295
020140301	0200296
020140302	0200297
020140303	0200298
020140304	0200299
020140305	0200300
020140306	0200301
020140307	0200302
020140308	0200303
020140401	0200304
020140402	0200305
020140403	0200306
020140404	0200307
020140405	0200308
020140406	0200309
020140407	0200310
020140408	0200311
020140409	0200312
020140410	0200313
020140501	0200314
020140502	0200315
020140503	0200316
020140504	0200317
020140505	0200318
020140506	0200319
020140507	0200320
020140508	0200321
020140509	0200322
020140601	0200323
020140602	0200324
020140603	0200325
020140604	0200326
020140605	0200327
020140606	0200328
020140607	0200329
020140608	0200330
020140609	0200331
020140610	0200332
020140701	0200333
020140702	0200334
020140703	0200335
020140704	0200336
020140705	0200337
020140706	0200338
020140707	0200339
020140708	0200340
020140709	0200341
020140801	0200342
020140802	0200343
020140803	0200344
020140804	0200345
020140805	0200346
020140806	0200347
020140807	0200348
020140808	0200349
020140901	0200350
020140902	0200351
020140903	0200352
020140904	0200353
020140905	0200354
020140906	0200355
020140907	0200356
020140908	0200357
020140909	0200358
020141001	0200359
020141002	0200360
020141003	0200361
020141004	0200362
020141005	0200363
020141006	0200364
020141007	0200365
020141008	0200366
020141009	0200367
020141101	0200368
020141102	0200369
020141103	0200370
020141104	0200371
020141105	0200372
020141106	0200373
020141201	0200374
020141202	0200375
020141203	0200376
020141204	0200377
020141205	0200378
020141207	0200379
020141206	0200379
020141301	0200380
020141302	0200381
020141303	0200382
020141304	0200383
020141305	0200384
020141306	0200385
020141307	0200386
020141401	0200387
020141402	0200388
020141403	0200389
020141404	0200390
020141405	0200391
020141406	0200392
020141407	0200393
020141408	0200394
020141409	0200395
020141410	0200396
020141501	0200397
020141502	0200398
020141503	0200399
020141504	0200400
020141505	0200401
020141506	0200402
020141507	0200403
020141508	0200404
020141601	0200405
020141602	0200406
020141603	0200407
020141604	0200408
020141605	0200409
020141606	0200410
020141607	0200411
020141608	0200412
020141701	0200413
020141702	0200414
020141703	0200415
020141704	0200416
020141705	0200417
020141706	0200418
020141707	0200419
020141708	0200420
020141709	0200421
020141801	0200422
020141802	0200423
020141803	0200424
020141804	0200425
020141805	0200426
020141806	0200427
020141807	0200428
020141808	0200429
020141901	0200430
020141902	0200431
020141903	0200432
020141904	0200433
020141905	0200434
020141906	0200435
020141907	0200436
020141908	0200437
020142001	0200438
020142002	0200439
020142003	0200440
020142004	0200441
020142009	0200441
020142005	0200442
020142006	0200443
020142007	0200444
020142008	0200445
020142101	0200446
020142102	0200447
020142103	0200448
020142104	0200449
020142105	0200450
020142106	0200451
020142201	0200452
020142202	0200453
020142203	0200454
020142204	0200455
020142205	0200456
020142206	0200457
020142301	0200458
020142302	0200459
020142303	0200460
020142304	0200461
020142305	0200462
020142306	0200463
020142307	0200464
020142308	0200465
020142309	0200466
020142401	0200467
020142402	0200468
020142403	0200469
020142404	0200470
020142405	0200471
020142406	0200472
020142501	0200473
020142502	0200474
020142503	0200475
020142504	0200476
020142505	0200477
020142506	0200478
020142507	0200479
020142508	0200480
020142512	0200480
020142509	0200481
020142510	0200482
020142513	0200483
020142511	0200483
020210112	0200484
020210101	0200484
020210102	0200485
020210103	0200486
020210104	0200487
020210105	0200488
020210106	0200489
020210107	0200490
020210108	0200491
020210109	0200492
020210110	0200493
020210111	0200494
020210201	0200495
020210202	0200496
020210203	0200497
020210204	0200498
020210205	0200499
020210206	0200500
020210207	0200501
020210208	0200502
020210209	0200503
020210210	0200504
020210211	0200505
020210212	0200506
020210301	0200507
020210302	0200508
020210303	0200509
020210304	0200510
020210305	0200511
020210306	0200512
020210307	0200513
020210308	0200514
020210309	0200515
020210310	0200516
020210311	0200517
020210401	0200518
020210402	0200519
020210403	0200520
020210404	0200521
020210405	0200522
020210406	0200523
020210407	0200524
020210408	0200525
020210501	0200526
020210502	0200527
020210503	0200528
020210504	0200529
020210505	0200530
020210506	0200531
020210507	0200532
020210601	0200533
020210602	0200534
020210603	0200535
020210604	0200536
020210605	0200537
020210606	0200538
020210607	0200539
020210701	0200540
020210702	0200541
020210703	0200542
020210704	0200543
020210705	0200544
020210706	0200545
020210707	0200546
020210708	0200547
020210709	0200548
020210801	0200549
020210802	0200550
020210803	0200551
020210804	0200552
020210805	0200553
020210806	0200554
020210807	0200555
020210808	0200556
020210809	0200557
020210810	0200558
020210901	0200559
020210902	0200560
020210903	0200561
020210904	0200562
020210905	0200563
020210906	0200564
020210907	0200565
020210908	0200566
020210909	0200567
020210910	0200568
020211001	0200569
020211002	0200570
020211003	0200571
020211004	0200572
020211005	0200573
020211006	0200574
020211009	0200574
020211007	0200575
020211008	0200576
020211101	0200577
020211102	0200578
020211103	0200579
020211104	0200580
020211105	0200581
020211106	0200582
020211107	0200583
020211108	0200584
020211201	0200585
020211202	0200586
020211203	0200587
020211204	0200588
020211205	0200589
020211206	0200590
020211207	0200591
020211208	0200592
020211209	0200593
020211210	0200594
020211301	0200595
020211302	0200596
020211303	0200597
020211304	0200598
020211305	0200599
020211306	0200600
020211307	0200601
020211308	0200602
020211309	0200603
020211310	0200604
020211311	0200605
020211401	0200606
020211402	0200607
020211403	0200608
020211404	0200609
020211405	0200610
020211406	0200611
020211407	0200612
020211408	0200613
020211409	0200614
020211501	0200615
020211502	0200616
020211503	0200617
020211504	0200618
020211505	0200619
020211506	0200620
020211507	0200621
020211508	0200622
020211509	0200623
020211601	0200624
020211602	0200625
020211603	0200626
020211604	0200627
020211605	0200628
020211606	0200629
020211607	0200630
020211608	0200631
020211609	0200632
020211701	0200633
020211702	0200634
020211703	0200635
020211704	0200636
020211705	0200637
020211706	0200638
020211707	0200639
020211708	0200640
020211709	0200641
020211801	0200642
020211802	0200643
020211803	0200644
020211804	0200645
020211805	0200646
020211806	0200647
020211807	0200648
020211808	0200649
020211809	0200650
020211810	0200651
020211811	0200652
020211901	0200653
020211902	0200654
020211903	0200655
020211904	0200656
020211905	0200657
020211906	0200658
020211907	0200659
020211908	0200660
020211909	0200661
020211910	0200662
020212001	0200663
020212002	0200664
020212003	0200665
020212004	0200666
020212005	0200667
020212006	0200668
020212007	0200669
020212008	0200670
020212009	0200671
020212010	0200672
020212011	0200673
020212101	0200674
