ID	CD_PERIMETRO
1500009	1500001
1500010	1500001
1500016	1500001
1500008	1500001
2300002	2300001
3600013	3600001
3600164	3600002
3600125	3600003
3600167	3600004
3600250	3600005
3600073	3600006
3600256	3600007
0200001	0200001
2700001	2700001
3600155	3600008
3600200	3600009
3300003	3300001
3600262	3600010
2200005	2200001
3600298	3600011
3600146	3600012
3600237	3600013
3600136	3600014
3600215	3600015
3600217	3600015
3600024	3600016
3600314	3600017
3600054	3600018
3700003	3700001
1900003	1900001
3700001	3700002
3600275	3600019
3600087	3600020
3300002	3300002
3600308	3600021
3600026	3600022
3600151	3600023
3600086	3600024
0900002	0900001
0900001	0900001
3600178	3600025
3800004	3800001
3600132	3600026
3800001	3800002
3800002	3800002
3800003	3800002
3600263	3600027
3600066	3600028
3600098	3600029
3600259	3600030
1200004	1200001
3600285	3600031
3600180	3600032
3600014	3600033
3600044	3600034
0700005	0700001
3600116	3600035
3600149	3600036
3600025	3600037
0100002	0100001
3100001	3100001
3600176	3600038
3600302	3600039
3600128	3600040
3600232	3600041
1500012	1500002
1500013	1500002
3700002	3700003
3600010	3600042
1300003	1300001
3600040	3600043
0300001	0300001
0700002	0700002
3600119	3600044
3600165	3600045
3600188	3600046
3600311	3600046
3600037	3600047
3600201	3600048
0600002	0600001
0600003	0600001
2400003	2400001
3600317	3600049
3300004	3300003
3600204	3600050
2400009	2400002
3600292	3600051
3600321	3600052
3600137	3600053
3600092	3600054
3600052	3600055
3600108	3600056
1500023	1500003
3600260	3600057
3600303	3600058
2400010	2400003
2400004	2400003
1500022	1500004
1500021	1500004
3600270	3600059
1700003	1700001
1700002	1700001
3600065	3600060
3600191	3600061
3600305	3600061
3600279	3600062
1600003	1600001
3600157	3600063
2200002	2200002
3600265	3600064
3600110	3600065
2700002	2700002
3600320	3600066
3600332	3600067
3600032	3600068
3600342	3600069
3600208	3600070
3600027	3600071
3200012	3200001
3600148	3600072
3600294	3600072
2600002	2600001
3300010	3300004
3300005	3300004
2800002	2800001
3600130	3600073
3600291	3600073
3300009	3300005
3300008	3300005
2300004	2300002
3600161	3600074
2400005	2400004
3600106	3600075
3600105	3600075
2100004	2100001
3600084	3600076
1200003	1200002
1200002	1200002
3600325	3600077
0600005	0600002
3600323	3600078
3600295	3600079
3600038	3600080
3600036	3600081
3600186	3600082
0900004	0900002
3600296	3600083
3600214	3600084
3600177	3600085
3600096	3600086
3600112	3600087
3600162	3600088
3600166	3600088
3200010	3200002
3200003	3200002
2400011	2400005
2400002	2400006
3600329	3600089
2300008	2300003
3600008	3600090
3600339	3600091
3600107	3600092
3600033	3600093
3600048	3600094
3600138	3600095
0700006	0700003
0700001	0700003
3600269	3600096
3600059	3600097
3600135	3600098
3600290	3600098
3600198	3600099
3600041	3600100
1500005	1500005
3900001	3900001
3600189	3600101
3600278	3600102
1800004	1800001
3600216	3600103
3600184	3600104
