ID	CD_PERIMETRO
36091	3600001
36092	3600002
36157	3600003
36294	3600004
36296	3600005
36003	3600006
36002	3600007
36005	3600008
36006	3600009
36007	3600010
36012	3600011
36009	3600012
36011	3600013
36013	3600014
36014	3600015
36016	3600016
36015	3600017
36017	3600018
36020	3600019
36019	3600020
36021	3600021
36022	3600022
36004	3600023
36025	3600024
36024	3600025
36026	3600026
36028	3600027
36031	3600028
36030	3600029
36032	3600030
36035	3600031
36008	3600032
36036	3600033
36039	3600034
36042	3600035
36043	3600036
36046	3600037
36048	3600038
36023	3600039
36049	3600040
36050	3600041
36052	3600042
36053	3600043
36055	3600044
36057	3600045
36059	3600046
36060	3600047
36058	3600048
36061	3600049
36062	3600050
36054	3600051
36063	3600052
36064	3600053
36066	3600054
36067	3600055
36068	3600056
36065	3600057
36069	3600058
36070	3600059
36029	3600060
36074	3600061
36075	3600062
36076	3600063
36077	3600064
36078	3600065
36079	3600066
36080	3600067
36082	3600068
36083	3600069
36033	3600070
36085	3600071
36084	3600072
36086	3600073
36088	3600074
36087	3600075
36089	3600076
36094	3600077
36090	3600078
36095	3600079
36096	3600080
36098	3600081
36100	3600082
36101	3600083
36097	3600084
36102	3600085
36103	3600086
36104	3600087
24501	2400001
36107	3600088
36112	3600089
36113	3600090
36116	3600091
36121	3600092
36109	3600093
36125	3600094
36123	3600095
36127	3600096
36099	3600097
36110	3600098
36131	3600099
36128	3600100
36132	3600101
36136	3600102
36137	3600103
36138	3600104
36139	3600105
36140	3600106
36141	3600107
36126	3600108
36143	3600109
36142	3600110
36145	3600111
36152	3600112
36153	3600113
36147	3600114
36154	3600115
36151	3600116
36155	3600117
15368	1500001
36161	3600118
36159	3600119
36130	3600120
36163	3600121
36129	3600122
36164	3600123
36165	3600124
36010	3600125
36041	3600126
36167	3600127
36166	3600128
36168	3600129
36174	3600130
36177	3600131
36170	3600132
36178	3600133
36180	3600134
36172	3600135
36182	3600136
36176	3600137
36181	3600138
36184	3600139
36185	3600140
36179	3600141
36187	3600142
36188	3600143
36192	3600144
36193	3600145
36189	3600146
36194	3600147
36190	3600148
36195	3600149
36196	3600150
36197	3600151
36201	3600152
36203	3600153
36205	3600154
36206	3600155
36200	3600156
36207	3600157
36210	3600158
36211	3600159
36209	3600160
36212	3600161
36214	3600162
36169	3600163
36216	3600164
36217	3600165
36215	3600166
36218	3600167
36219	3600168
36220	3600169
36221	3600170
36224	3600171
36225	3600172
36231	3600173
36051	3600174
36239	3600175
36236	3600176
36240	3600177
36238	3600178
36244	3600179
36237	3600180
36245	3600181
36247	3600182
36249	3600183
36243	3600184
36251	3600185
36252	3600186
36256	3600187
36259	3600188
36262	3600189
36263	3600190
36233	3600191
36266	3600192
36072	3600193
36268	3600194
36269	3600195
36271	3600196
36272	3600197
36274	3600198
36275	3600199
36277	3600200
36278	3600201
36285	3600202
36290	3600203
36291	3600204
36292	3600205
36293	3600206
36295	3600207
36281	3600208
36302	3600209
36280	3600210
36303	3600211
36286	3600212
36306	3600213
36307	3600214
36309	3600215
36311	3600216
36310	3600217
36313	3600218
36317	3600219
36318	3600220
36305	3600221
36321	3600222
36320	3600223
36327	3600224
36333	3600225
36336	3600226
36334	3600227
36337	3600228
36338	3600229
36340	3600230
36316	3600231
36339	3600232
36341	3600233
36329	3600234
36331	3600235
36342	3600236
04345	0400001
04344	0400002
13350	1300001
13351	1300002
13353	1300003
12354	1200001
12355	1200002
13352	1300004
21360	2100001
15366	1500002
15367	1500003
15370	1500004
15364	1500005
15372	1500006
15374	1500007
15375	1500008
15377	1500009
36198	3600237
15378	1500010
15371	1500011
15379	1500012
15380	1500013
36150	3600238
15381	1500014
15382	1500015
15376	1500016
01387	0100001
36204	3600239
11391	1100001
11393	1100002
18396	1800001
37400	3700001
23408	2300001
30389	3000001
14416	1400001
34420	3400001
36242	3600240
34421	3400002
34418	3400003
32425	3200001
32429	3200002
22435	2200001
11392	1100003
27441	2700001
36246	3600241
33447	3300001
32424	3200003
33454	3300002
36276	3600242
08455	0800001
36248	3600243
38462	3800001
36325	3600244
36324	3600245
38463	3800002
36314	3600246
09465	0900001
36299	3600247
10473	1000001
02476	0200001
02482	0200002
24490	2400002
06487	0600001
24493	2400003
06485	0600002
24495	2400004
24497	2400005
24498	2400006
02481	0200003
19503	1900001
07506	0700001
05347	0500001
36114	3600248
36118	3600249
36135	3600250
36171	3600251
36234	3600252
36235	3600253
36253	3600254
36270	3600255
36298	3600256
36300	3600257
04346	0400003
05348	0500002
13349	1300005
12356	1200003
12357	1200004
36149	3600258
21358	2100002
21361	2100003
15369	1500017
15383	1500018
15385	1500019
15384	1500020
01386	0100002
30390	3000002
18397	1800002
18398	1800003
18399	1800004
37403	3700002
23404	2300002
23405	2300003
23409	2300004
23410	2300005
23411	2300006
23412	2300007
23413	2300008
03414	0300001
29415	2900001
32426	3200004
32427	3200005
32430	3200006
32431	3200007
32432	3200008
32434	3200009
22436	2200002
33452	3300003
33453	3300004
16468	1600001
35471	3500001
10472	1000002
20475	2000001
02477	0200004
02478	0200005
24492	2400007
16470	1600002
07509	0700002
07508	0700003
07510	0700004
07511	0700005
39512	3900001
17513	1700001
17515	1700002
25517	2500001
36018	3600259
36027	3600260
36034	3600261
36037	3600262
36038	3600263
36162	3600264
36040	3600265
36044	3600266
36045	3600267
36047	3600268
36056	3600269
36250	3600270
36071	3600271
36073	3600272
36081	3600273
36093	3600274
36105	3600275
36106	3600276
36111	3600277
36115	3600278
36119	3600279
36120	3600280
36124	3600281
36122	3600282
36133	3600283
36134	3600284
36144	3600285
36146	3600286
36148	3600287
36158	3600288
36160	3600289
36173	3600290
36175	3600291
36183	3600292
36186	3600293
36191	3600294
36199	3600295
36202	3600296
36208	3600297
36213	3600298
36222	3600299
36223	3600300
36226	3600301
36227	3600302
36228	3600303
36230	3600304
36232	3600305
36241	3600306
34419	3400004
36254	3600307
36255	3600308
36257	3600309
36258	3600310
36260	3600311
36261	3600312
36264	3600313
36265	3600314
36267	3600315
36273	3600316
36279	3600317
36282	3600318
36289	3600319
36283	3600320
36284	3600321
36288	3600322
36287	3600323
36297	3600324
36301	3600325
36304	3600326
36312	3600327
36308	3600328
36315	3600329
36319	3600330
36322	3600331
36323	3600332
38461	3800003
36326	3600333
36328	3600334
36330	3600335
36332	3600336
36335	3600337
04343	0400004
21359	2100004
15362	1500021
15363	1500022
15365	1500023
15373	1500024
01388	0100003
26394	2600001
26395	2600002
37401	3700003
37402	3700004
23406	2300009
23407	2300010
34417	3400005
32423	3200010
32422	3200011
32428	3200012
27440	2700002
32433	3200013
28444	2800001
22438	2200003
22437	2200004
22439	2200005
27442	2700003
28443	2800002
33451	3300005
33445	3300006
33446	3300007
33448	3300008
33449	3300009
33450	3300010
08456	0800002
08458	0800003
08457	0800004
08459	0800005
38460	3800004
09464	0900002
09467	0900003
09466	0900004
16469	1600003
10474	1000003
02479	0200006
02480	0200007
02483	0200008
06484	0600003
06486	0600004
06488	0600005
24489	2400008
24491	2400009
24494	2400010
24496	2400011
24499	2400012
24500	2400013
24502	2400014
19504	1900002
19505	1900003
07507	0700006
17514	1700003
36001	3600338
36108	3600339
31516	3100001
36117	3600340
36229	3600341
36156	3600342
