COD_2010,COD_2022
"020010101","020070101"
"020010401","020070401"
"020010402","020070402"
"020010403","020070403"
"020010404","020070404"
"020010405","020070405"
"020010406","020070406"
"020010407","020070407"
"020010408","020070408"
"020010501","020070501"
"020010502","020070502"
"020010503","020070503"
"020010504","020070504"
"020010505","020070505"
"020010506","020070506"
"020010507","020070507"
"020010601","020070601"
"020010602","020070602"
"020010603","020070603"
"020010604","020070604"
"020010605","020070605"
"020010606","020070606"
"020010607","020070607"
"020010608","020070608"
"020010609","020070609"
"020010610","020070610"
"020010701","020070701"
"020010702","020070702"
"020010703","020070703"
"020010704","020070704"
"020010705","020070705"
"020010706","020070706"
"020010707","020070707"
"020010708","020070708"
"020010709","020070709"
"020010710","020070710"
"020010711","020070711"
"020010712","020070712"
"020010713","020070713"
"020010801","020070801"
"020010802","020070802"
"020010803","020070803"
"020010803","020070811"
"020010804","020070804"
"020010805","020070805"
"020010806","020070806"
"020010807","020070807"
"020010808","020070808"
"020010809","020070809"
"020010810","020070810"
"020010901","020070901"
"020010902","020070902"
"020010903","020070903"
"020010904","020070904"
"020010905","020070905"
"020010906","020070906"
"020010907","020070907"
"020010908","020070908"
"020010909","020070909"
"020010910","020070910"
"020010911","020070911"
"020010912","020070912"
"020010913","020070913"
"020010914","020070914"
"020010915","020070915"
"020010916","020070916"
"020010916","020070920"
"020010917","020070921"
"020010917","020070917"
"020010918","020070918"
"020010919","020070919"
"020011001","020071001"
"020011002","020071002"
"020011003","020071003"
"020011003","020071015"
"020011004","020071004"
"020011005","020071005"
"020011006","020071006"
"020011007","020071007"
"020011008","020071008"
"020011009","020071009"
"020011010","020071010"
"020011011","020071011"
"020011012","020071012"
"020011013","020071016"
"020011013","020071013"
"020011014","020071014"
"020011101","020071101"
"020011102","020071102"
"020011103","020071103"
"020011104","020071104"
"020011105","020071105"
"020011106","020071106"
"020011107","020071107"
"020011108","020071108"
"020011109","020071109"
"020011110","020071110"
"020011111","020071111"
"020011112","020071115"
"020011112","020071112"
"020011113","020071113"
"020011114","020071114"
"020011201","020071201"
"020011202","020071202"
"020011203","020071203"
"020011203","020071213"
"020011204","020071204"
"020011205","020071205"
"020011206","020071206"
"020011207","020071207"
"020011208","020071208"
"020011209","020071214"
"020011209","020071209"
"020011210","020071210"
"020011211","020071211"
"020011212","020071212"
"020011301","020071301"
"020011302","020071302"
"020011303","020071303"
"020011304","020071304"
"020011305","020071305"
"020011306","020071306"
"020011307","020071307"
"020011308","020071308"
"020011309","020071309"
"020011310","020071310"
"020011311","020071311"
"020011312","020071312"
"020011313","020071313"
"020011314","020071316"
"020011314","020071317"
"020011314","020071314"
"020011314","020071318"
"020011315","020071315"
"020011401","020071401"
"020011402","020071402"
"020011403","020071403"
"020011404","020071404"
"020011405","020071405"
"020011406","020071406"
"020011407","020071407"
"020011408","020071408"
"020011409","020071409"
"020011410","020071410"
"020011411","020071411"
"020011412","020071412"
"020011501","020071501"
"020011502","020071502"
"020011503","020071503"
"020011504","020071504"
"020011505","020071505"
"020011506","020071506"
"020011507","020071507"
"020011508","020071508"
"020011509","020071509"
"020011510","020071510"
"020011511","020071511"
"020011601","020071601"
"020011602","020071602"
"020011603","020071603"
"020011604","020071604"
"020011605","020071605"
"020011606","020071606"
"020011607","020071607"
"020011608","020071608"
"020011609","020071609"
"020011610","020071610"
"020011611","020071611"
"020011612","020071612"
"020011701","020071701"
"020011702","020071702"
"020011703","020071703"
"020011704","020071704"
"020011705","020071705"
"020011706","020071706"
"020011707","020071707"
"020011708","020071708"
"020011709","020071709"
"020011710","020071710"
"020011711","020071711"
"020011801","020071801"
"020011802","020071802"
"020011803","020071803"
"020011804","020071804"
"020011805","020071805"
"020011806","020071806"
"020011807","020071807"
"020011808","020071808"
"020011809","020071809"
"020011901","020071901"
"020011902","020071902"
"020011903","020071903"
"020011904","020071904"
"020011905","020071905"
"020011906","020071906"
"020011907","020071907"
"020011908","020071908"
"020011909","020071909"
"020012001","020072001"
"020012002","020072002"
"020012003","020072003"
"020012004","020072004"
"020012005","020072005"
"020012006","020072006"
"020012007","020072007"
"020012008","020072008"
"020012009","020072009"
"020012010","020072010"
"020012101","020072101"
"020012102","020072102"
"020012103","020072103"
"020012104","020072104"
"020012105","020072105"
"020012106","020072106"
"020012107","020072107"
"020012108","020072108"
"020012109","020072109"
"020012110","020072110"
"020012201","020072201"
"020012202","020072202"
"020012203","020072203"
"020012204","020072204"
"020012205","020072205"
"020012206","020072206"
"020012207","020072207"
"020012208","020072208"
"020012209","020072209"
"020012210","020072210"
"020012301","020072301"
"020012302","020072302"
"020012303","020072303"
"020012304","020072304"
"020012305","020072305"
"020012306","020072306"
"020012307","020072307"
"020012308","020072308"
"020012309","020072309"
"020012310","020072310"
"020012401","020072401"
"020012402","020072402"
"020012403","020072403"
"020012404","020072404"
"020012405","020072405"
"020012406","020072406"
"020012407","020072407"
"020012408","020072408"
"020012501","020072501"
"020012502","020072502"
"020012503","020072503"
"020012504","020072504"
"020012505","020072505"
"020012506","020072506"
"020012507","020072507"
"020012508","020072508"
"020012509","020072509"
"020012510","020072510"
"020012511","020072511"
"020012601","020072601"
"020012602","020072602"
"020012603","020072603"
"020012604","020072604"
"020012605","020072605"
"020012606","020072606"
"020012607","020072607"
"020012608","020072608"
"020012609","020072609"
"020012701","020072701"
"020012702","020072702"
"020012703","020072703"
"020012704","020072704"
"020012705","020072705"
"020012706","020072706"
"020012707","020072707"
"020012708","020072708"
"020012709","020072709"
"020012710","020072710"
"020012801","020072801"
"020012802","020072802"
"020012803","020072803"
"020012804","020072804"
"020012805","020072805"
"020012806","020072806"
"020012807","020072807"
"020012808","020072808"
"020012809","020072809"
"020012810","020072810"
"020012811","020072811"
"020012812","020072812"
"020012813","020072813"
"020012901","020072901"
"020012902","020072902"
"020012903","020072903"
"020012904","020072904"
"020012905","020072905"
"020012906","020072906"
"020012907","020072907"
"020012908","020072908"
"020012909","020072909"
"020020201","020140201"
"020020202","020140202"
"020020203","020140203"
"020020204","020140204"
"020020205","020140205"
"020020206","020140206"
"020020207","020140207"
"020020208","020140208"
"020020301","020140301"
"020020302","020140302"
"020020303","020140303"
"020020304","020140304"
"020020305","020140305"
"020020306","020140306"
"020020307","020140307"
"020020308","020140308"
"020020401","020140401"
"020020402","020140402"
"020020403","020140403"
"020020404","020140404"
"020020405","020140405"
"020020406","020140406"
"020020407","020140407"
"020020408","020140408"
"020020409","020140409"
"020020410","020140410"
"020020501","020140501"
"020020502","020140502"
"020020503","020140503"
"020020504","020140504"
"020020505","020140505"
"020020506","020140506"
"020020507","020140507"
"020020508","020140508"
"020020509","020140509"
"020020601","020140601"
"020020602","020140602"
"020020603","020140603"
"020020604","020140604"
"020020605","020140605"
"020020606","020140606"
"020020607","020140607"
"020020608","020140608"
"020020609","020140609"
"020020610","020140610"
"020020701","020140701"
"020020702","020140702"
"020020703","020140703"
"020020704","020140704"
"020020705","020140705"
"020020706","020140706"
"020020707","020140707"
"020020708","020140708"
"020020709","020140709"
"020020801","020140801"
"020020802","020140802"
"020020803","020140803"
"020020804","020140804"
"020020805","020140805"
"020020806","020140806"
"020020807","020140807"
"020020808","020140808"
"020020901","020140901"
"020020902","020140902"
"020020903","020140903"
"020020904","020140904"
"020020905","020140905"
"020020906","020140906"
"020020907","020140907"
"020020908","020140908"
"020020909","020140909"
"020021001","020141001"
"020021002","020141002"
"020021003","020141003"
"020021004","020141004"
"020021005","020141005"
"020021006","020141006"
"020021007","020141007"
"020021008","020141008"
"020021009","020141009"
"020021101","020141101"
"020021102","020141102"
"020021103","020141103"
"020021104","020141104"
"020021105","020141105"
"020021106","020141106"
"020021201","020141201"
"020021202","020141202"
"020021203","020141203"
"020021204","020141204"
"020021205","020141205"
"020021206","020141206"
"020021206","020141207"
"020021301","020141301"
"020021302","020141302"
"020021303","020141303"
"020021304","020141304"
"020021305","020141305"
"020021306","020141306"
"020021307","020141307"
"020021401","020141401"
"020021402","020141402"
"020021403","020141403"
"020021404","020141404"
"020021405","020141405"
"020021406","020141406"
"020021407","020141407"
"020021408","020141408"
"020021409","020141409"
"020021410","020141410"
"020021501","020141501"
"020021502","020141502"
"020021503","020141503"
"020021504","020141504"
"020021505","020141505"
"020021506","020141506"
"020021507","020141507"
"020021508","020141508"
"020021601","020141601"
"020021602","020141602"
"020021603","020141603"
"020021604","020141604"
"020021605","020141605"
"020021606","020141606"
"020021607","020141607"
"020021608","020141608"
"020021701","020141701"
"020021702","020141702"
"020021703","020141703"
"020021704","020141704"
"020021705","020141705"
"020021706","020141706"
"020021707","020141707"
"020021708","020141708"
"020021709","020141709"
"020021801","020141801"
"020021802","020141802"
"020021803","020141803"
"020021804","020141804"
"020021805","020141805"
"020021806","020141806"
"020021807","020141807"
"020021808","020141808"
"020021901","020141901"
"020021902","020141902"
"020021903","020141903"
"020021904","020141904"
"020021905","020141905"
"020021906","020141906"
"020021907","020141907"
"020021908","020141908"
"020022001","020142001"
"020022002","020142002"
"020022003","020142003"
"020022004","020142009"
"020022004","020142004"
"020022005","020142005"
"020022006","020142006"
"020022007","020142007"
"020022008","020142008"
"020022101","020142101"
"020022102","020142102"
"020022103","020142103"
"020022104","020142104"
"020022105","020142105"
"020022106","020142106"
"020022201","020142201"
"020022202","020142202"
"020022203","020142203"
"020022204","020142204"
"020022205","020142205"
"020022206","020142206"
"020022301","020142301"
"020022302","020142302"
"020022303","020142303"
"020022304","020142304"
"020022305","020142305"
"020022306","020142306"
"020022307","020142307"
"020022308","020142308"
"020022309","020142309"
"020022401","020142401"
"020022402","020142402"
"020022403","020142403"
"020022404","020142404"
"020022405","020142405"
"020022406","020142406"
"020022501","020142501"
"020022502","020142502"
"020022503","020142503"
"020022504","020142504"
