ID	CD_MCA
020010101	0200001
020010401	0200002
020010402	0200003
020010403	0200004
020010404	0200005
020010405	0200006
020010406	0200007
020010407	0200008
020010408	0200009
020010501	0200010
020010502	0200011
020010503	0200012
020010504	0200013
020010505	0200014
020010506	0200015
020010507	0200016
020010601	0200017
020010602	0200018
020010603	0200019
020010604	0200020
020010605	0200021
020010606	0200022
020010607	0200023
020010608	0200024
020010609	0200025
020010610	0200026
020010701	0200027
020010702	0200028
020010703	0200029
020010704	0200030
020010705	0200031
020010706	0200032
020010707	0200033
020010708	0200034
020010709	0200035
020010710	0200036
020010711	0200037
020010712	0200038
020010713	0200039
020010801	0200040
020010802	0200041
020010803	0200042
020010804	0200043
020010805	0200044
020010806	0200045
020010807	0200046
020010808	0200047
020010809	0200048
020010810	0200049
020010901	0200050
020010902	0200051
020010903	0200052
020010904	0200053
020010905	0200054
020010906	0200055
020010907	0200056
020010908	0200057
020010909	0200058
020010910	0200059
020010911	0200060
020010912	0200061
020010913	0200062
020010914	0200063
020010915	0200064
020010916	0200065
020010917	0200066
020010918	0200067
020010919	0200068
020011001	0200069
020011002	0200070
020011003	0200071
020011004	0200072
020011005	0200073
020011006	0200074
020011007	0200075
020011008	0200076
020011009	0200077
020011010	0200078
020011011	0200079
020011012	0200080
020011013	0200081
020011014	0200082
020011101	0200083
020011102	0200084
020011103	0200085
020011104	0200086
020011105	0200087
020011106	0200088
020011107	0200089
020011108	0200090
020011109	0200091
020011110	0200092
020011111	0200093
020011112	0200094
020011113	0200095
020011114	0200096
020011201	0200097
020011202	0200098
020011203	0200099
020011204	0200100
020011205	0200101
020011206	0200102
020011207	0200103
020011208	0200104
020011209	0200105
020011210	0200106
020011211	0200107
020011212	0200108
020011301	0200109
020011302	0200110
020011303	0200111
020011304	0200112
020011305	0200113
020011306	0200114
020011307	0200115
020011308	0200116
020011309	0200117
020011310	0200118
020011311	0200119
020011312	0200120
020011313	0200121
020011314	0200122
020011315	0200123
020011401	0200124
020011402	0200125
020011403	0200126
020011404	0200127
020011405	0200128
020011406	0200129
020011407	0200130
020011408	0200131
020011409	0200132
020011410	0200133
020011411	0200134
020011412	0200135
020011501	0200136
020011502	0200137
020011503	0200138
020011504	0200139
020011505	0200140
020011506	0200141
020011507	0200142
020011508	0200143
020011509	0200144
020011510	0200145
020011511	0200146
020011601	0200147
020011602	0200148
020011603	0200149
020011604	0200150
020011605	0200151
020011606	0200152
020011607	0200153
020011608	0200154
020011609	0200155
020011610	0200156
020011611	0200157
020011612	0200158
020011701	0200159
020011702	0200160
020011703	0200161
020011704	0200162
020011705	0200163
