ID	CD_MCA
36017	3600001
36118	3600001
36097	3600001
36106	3600001
36082	3600001
36014	3600001
36079	3600001
36020	3600001
36030	3600001
36036	3600001
36013	3600001
36061	3600001
36006	3600001
36095	3600001
36023	3600001
36107	3600001
36108	3600001
36113	3600001
36060	3600001
36034	3600001
36085	3600001
36015	3600001
36051	3600001
36054	3600001
36092	3600001
36217	3600001
36087	3600001
36198	3600001
36083	3600001
36080	3600001
36103	3600001
36202	3600001
36057	3600001
36101	3600001
36035	3600001
36003	3600001
36033	3600001
36002	3600001
36207	3600001
36004	3600001
36016	3600001
36091	3600001
36093	3600001
36031	3600001
36078	3600001
36206	3600001
36084	3600001
36005	3600001
36105	3600001
36077	3600001
36116	3600001
36094	3600001
36032	3600001
36056	3600001
36203	3600001
36021	3600001
36096	3600001
36100	3600001
36007	3600001
36001	3600001
36112	3600001
36216	3600001
36052	3600001
36089	3600001
36199	3600001
36088	3600001
36022	3600001
36019	3600001
36098	3600001
36090	3600001
36055	3600001
36059	3600001
36218	3600001
36012	3600001
36110	3600001
36053	3600001
36104	3600001
36111	3600001
36099	3600001
36117	3600001
36102	3600001
36018	3600001
36204	3600001
36050	3600002
36029	3600003
36049	3600004
36008	3600005
36009	3600005
36211	3600006
36045	3600006
36209	3600006
36072	3600006
36205	3600006
36075	3600006
36200	3600006
36043	3600006
36201	3600006
36047	3600006
36073	3600006
36214	3600006
36213	3600006
36026	3600006
36028	3600006
36068	3600006
36071	3600006
36215	3600006
36027	3600006
36069	3600006
36076	3600006
36070	3600006
36046	3600006
36119	3600006
36044	3600006
36074	3600006
36039	3600007
36038	3600007
36197	3600008
36063	3600008
36037	3600008
36062	3600008
36042	3600009
36066	3600009
36010	3600009
36025	3600009
36011	3600009
36067	3600009
24184	2400001
24251	2400001
24186	2400001
36109	3600010
36115	3600011
36064	3600012
07177	0700001
07178	0700001
09247	0900001
36196	3600013
02190	0200001
13222	1300001
13122	1300001
13223	1300001
12225	1200001
12123	1200001
12224	1200001
23145	2300001
23142	2300001
23141	2300001
23143	2300001
23140	2300001
23144	2300001
23237	2300001
23238	2300001
37139	3700001
24250	2400002
38172	3800001
02252	0200002
19192	1900001
24182	2400003
24183	2400003
24185	2400003
36040	3600014
36041	3600014
36065	3600014
36114	3600015
36086	3600016
36048	3600017
04121	0400001
15127	1500001
15129	1500001
15128	1500001
15228	1500001
15125	1500001
15131	1500001
15130	1500001
15126	1500001
18134	1800001
18136	1800001
18135	1800001
18233	1800001
14146	1400001
03147	0300001
29148	2900001
22239	2200001
22151	2200001
22149	2200001
22150	2200001
32159	3200001
32154	3200001
32155	3200001
32156	3200001
32244	3200001
32157	3200001
32158	3200001
34161	3400001
10246	1000001
10170	1000001
10171	1000001
09173	0900002
16174	1600001
20176	2000001
07180	0700002
39181	3900001
17193	1700001
31194	3100001
25195	2500001
15212	1500002
33165	3300001
33164	3300001
33166	3300001
33163	3300001
05219	0500001
05120	0500002
04220	0400002
21226	2100001
21124	2100001
21227	2100002
15229	1500003
30232	3000001
30133	3000002
37236	3700002
01230	0100001
01231	0100001
01132	0100001
33245	3300002
16175	1600002
16248	1600002
07249	0700003
17254	1700002
36058	3600018
26138	2600001
26235	2600002
27152	2700001
27240	2700001
27241	2700001
28243	2800001
28242	2800001
28153	2800001
08168	0800001
08169	0800001
08167	0800001
02191	0200003
04221	0400003
36024	3600019
36210	3600020
36081	3600021
06187	0600001
06189	0600001
06188	0600001
34160	3400002
11234	1100001
11137	1100001
33162	3300003
07179	0700004
36208	3600022
19253	1900002
	3500001
