ID	CD_MCA
2300006	2300001
2300001	2300001
2300010	2300001
2300007	2300001
2300009	2300001
2300008	2300001
2300003	2300001
2600001	2600001
3600081	3600001
1500013	1500001
1500011	1500002
3600128	3600002
3600068	3600002
3600178	3600003
3600260	3600004
3600301	3600005
3600006	3600006
3600224	3600006
3600111	3600006
1300002	1300001
3600255	3600007
3600062	3600008
3300005	3300001
3600189	3600009
3600036	3600010
3600058	3600011
3600200	3600012
3600237	3600013
3600053	3600014
1500001	1500003
3600192	3600015
0500002	0500001
2300004	2300002
0200005	0200001
0800003	0800001
3600146	3600016
3600139	3600017
3600286	3600017
3600295	3600018
3600203	3600019
1600001	1600001
3600241	3600020
3600188	3600021
3600137	3600021
3900001	3900001
3600235	3600022
3600127	3600022
3600187	3600023
3600314	3600023
3600134	3600024
3600033	3600024
3600263	3600024
3600229	3600025
3200008	3200001
3600216	3600026
3600214	3600027
3400001	3400001
2800001	2800001
3600259	3600028
3600123	3600028
3600024	3600028
2400009	2400001
3600273	3600029
1500007	1500004
3600049	3600030
3600112	3600031
3600193	3600032
3600264	3600033
3600072	3600034
3600218	3600035
0200007	0200002
3600051	3600036
3600075	3600037
3300002	3300002
3600104	3600038
3600298	3600039
2900001	2900001
3600240	3600040
3600132	3600041
2100004	2100001
3600010	3600042
3600262	3600043
3600227	3600044
3600284	3600045
3600069	3600046
3600195	3600047
3600243	3600048
0900001	0900001
3600166	3600049
2600002	2600002
2400012	2400002
2400007	2400002
0700004	0700001
0700003	0700002
3600092	3600050
3600070	3600051
3600251	3600052
3600272	3600052
3600043	3600052
3600100	3600052
3600103	3600053
2400001	2400003
3600048	3600054
1100002	1100001
3600308	3600055
3600097	3600055
3600307	3600056
3600319	3600056
3600199	3600057
3600077	3600058
3200003	3200002
3600154	3600059
3600316	3600060
3600037	3600061
3600198	3600061
3600269	3600062
0600002	0600001
0600003	0600001
1600002	1600002
0500001	0500002
3600117	3600063
3600131	3600064
3600318	3600065
3100001	3100001
3600180	3600066
3600143	3600067
3600245	3600068
3600055	3600068
3600161	3600069
1500004	1500005
1500003	1500005
1500005	1500005
1500006	1500005
2200003	2200001
2200002	2200001
0700005	0700003
1700002	1700001
3600085	3600070
3600213	3600071
3600071	3600071
3600150	3600072
3600086	3600073
3600138	3600074
1000001	1000001
1000003	1000001
3600076	3600075
3600108	3600075
3600254	3600076
3600152	3600077
